Compound Name	Enzyme Name	Encoding Gene	KEGG Orthology	Organism	GenBankID	Strain ID/Microorganism	UniProt ID	Protein ID	Continent where study sampling was done (Collections)	Country	Isolation source	Habitat notes
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331623.1	Uncultured organism clone: type 16	A8J687	BAF81711.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331622.1	Uncultured organism clone: type 15	A8J685	BAF81710.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331621.1	Uncultured organism clone: type 14	A8J659	BAF81709.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331620.1	Uncultured organism clone: type 13	A8J681	BAF81708.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331619.1	Uncultured organism clone: type 12	A8J679	BAF81707.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331618.1	Uncultured organism clone: type 11	A8J659	BAF81706	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB331617.1	Uncultured organism clone: type 10	A8J659	BAF81705.1	Asia	Japan	Soil	Hexachlorocyclohexane-contaminated and uncontaminated agricultural soils
Alpha-hexachlorocyclohexane	Hexachlorocyclohexane-dehydrodechlorinase	LinAa	K15236	Bacteria	EF514235	Pseudomonas aeruginosa strain ITRC-5	A5A0R1	ABP93360.1	Asia	India	Soil	HCH-contaminated soil
Alpha-hexachlorocyclohexane	Hexachlorocyclohexane-dehydrodechlorinase	LinAb	K15236	Bacteria	EF514237.1	Pseudomonas aeruginosa strain ITRC-5	A5A0R3	ABP93362	Asia	India	Soil	HCH-contaminated soil
Alpha-hexachlorocyclohexane	Hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	JANF02000095.1	Sphingobium lucknowense F2	A0A081SWR2	KER34486.1	Asia	India	Soil	Hexachlorocylcohexane (HCH) dumpsite
Alpha-hexachlorocyclohexane	Hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB303683.1	Sphingobium indicum strain SS86	A8CFB5	BAF80329.1	Asia	Japan	Soil	Soil surface layer of the γ-HCH plot of the long-term experimental field
Alpha-hexachlorocyclohexane	Hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AB303684.1	Sphingobium indicum strain SS04-4	A8CFB6	BAF80330.1	Asia	Japan	Soil	Soil surface layer of the γ-HCH plot of the long-term experimental field
Alpha-hexachlorocyclohexane	Hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	GQ915274.1	Sphingomonas sp. HZ-1	C9ELL8	ACV91871.1	Asia	China	Soil	Hexacholorocyclohexane-contaminated soil collected from an industrial site that was engaged in the manufacture of HCH,  1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) and some other organochlorine insecticides from 1950s to 1980s
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	JACU01000019.1	Novosphingobium barchaimii LL02	A0A0J7XEF9	KMS50456.1	Europe	Czech Republic	Soil	Hexachlorocyclohexane-contaminated soil from a lindane-manufacturing site
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	JACV01000033.1	Sphingobium baderi LL03	n/a	KMS62266.1	Europe	Czech Republic	Soil	Hexachlorocyclohexane-contaminated soil from a lindane-manufacturing site
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	JACT01000010.1	Sphingobium czechense LL01	A0A0J7XHD5	KMS51192.1	Europe	Czech Republic	Soil	Hexachlorocyclohexane-contaminated soil from a lindane-manufacturing site
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	AUDA01000019.1	Sphingobium chinhatense IP26	W1KZF9	EPR18630.1	Asia	India	Soil	 HCH dumpsite where Lindane was produced
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	ATIB01000082.1	Sphingobium baderi LL03	T0G3W4	EQA98340.1	Europe	Czech Republic	Soil	 HCH dumpsite where Lindane was produced
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	CP005191.1	Sphingobium sp. MI1205	A0A126REW5	AMK20791.1	Asia	Japan	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	Gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	CP005189.1	Sphingobium sp. MI1205	A0A126REH2	AMK19985.1	Asia	Japan	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	gamma-hexachlorocyclohexane dehydrochlorinase	LinA	K15236	Bacteria	CP004038.1	Sphingomonas sp. MM-1	D4AHV9	AGH51793.1	Asia	India	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	gamma-hexachlorocyclohexane dehydrochlorinase	linA	K15236	Bacteria	CP005088.1	Sphingobium sp. TKS	A0A126RXL2	AMK26746.1	Asia	Japan	Sediment	Kyushu Island, Japan, contaminated with HCH isomers
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	L76221.1	Rhodanobacter lindaniclasticus	Q6LE58	AAT00794.1	Europe	France	Soil	Sites where g-HCH has been applied every 2 years for about 20 years for agricultural purposes
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	AJ871385.1	Sphingomonas sp. DS3-1	Q599S6	CAI43922.1	Europe	Germany	Soil	Area where contaminated waste had been inappropriately disposed of for several decades.
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	AJ871384.1	Sphingomonas sp. Alpha4-2	Q599S7	CAI43921.1	Europe	Germany	Soil	Area where contaminated waste had been inappropriately disposed of for several decades.
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	AJ871383.1	Sphingomonas sp. Alpha1-2	Q599S8	CAI43920.1	Europe	Germany	Soil	Area where contaminated waste had been inappropriately disposed of for several decades.
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	AJ871382.1	Sphingomonas sp. Gamma16-1	Q599S9	CAI43919.1	Europe	Germany	Soil	Area where contaminated waste had been inappropriately disposed of for several decades.
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	AJ871381.1	Sphingomonas sp. Gamma12-7	Q599T0	CAI43918.1	Europe	Germany	Soil	Area where contaminated waste had been inappropriately disposed of for several decades.
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	AJ871380.1	Sphingomonas sp. Gamma1-7	Q599T1	CAI43917.1	Europe	Germany	Soil	Area where contaminated waste had been inappropriately disposed of for several decades.
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	AJ871379.1	Sphingomonas sp. DS2-2	Q599T2	CAI43916.1	Europe	Germany	Soil	Area where contaminated waste had been inappropriately disposed of for several decades.
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	AJ871378.1	Sphingomonas sp. DS2	Q599T3	CAI43915.1	Europe	Germany	Soil	Area where contaminated waste had been inappropriately disposed of for several decades.
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	DQ767898.1	Sphingomonas sp. NM05	Q0PV41	ABG77566.1	Asia	India	Sediment, Wastewater, Soil	Industrial site which is engaged in the manufacture of lindane for more than 15 years
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	DQ910545.1	Xanthomonas sp. ICH12	Q06DE5	ABI93217.1	Asia	India	Sediment, Wastewater, Soil	Industrial site which is engaged in the manufacture of lindane for more than 15 years
Alpha-hexachlorocyclohexane	HCH dehydrochlorinase	linA	K15236	Bacteria	AY690622.3	Sphingobium francense strain Sp+	Q66MI9	AAU11089.2	Europe	France	Soil	Enrichments derived from hexachlorocyclohexane-contaminated soil
Alpha-hexachlorocyclohexane	Hexachlorocyclohexane dehydrochlorinase 1	linA1	K15236	Bacteria	CP013071.1	Sphingobium indicum B90A	P59766	APL96514.1	Asia	India	Soil	Sugarcane rhizosphere soil
Alpha-hexachlorocyclohexane	Hexachlorocyclohexane dehydrochlorinase 2	linA2	K15236	Bacteria	CP013070.1	Sphingobium indicum B90A	P59767	APL95055.1	Asia	India	Soil	Sugarcane rhizosphere soil
Alpha-hexachlorocyclohexane	gamma-hexachlorocyclohexane dehydrochlorinase	linA	K15236	Bacteria	AP010803.1	Sphingobium japonicum UT26S	P51697	BAI96690.1	Asia	Japan	Soil	Experimental field in which lindane was applied before
Alpha-hexachlorocyclohexane	1,3,4,6-tetrachloro-1,4-cyclohexadiene hydrolase	linB	K01563	Bacteria	AP010803.1	Sphingobium japonicum UT26S	D4Z2G1	BAI96793.1	Asia	Japan	Soil	Experimental field in which lindane was applied before
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linB	K01563	Bacteria	CP013071.1	Sphingobium indicum B90A	A0A1L5BUG8	APL96511.1	Asia	India	Soil	Sugarcane rhizosphere soil
Alpha-hexachlorocyclohexane	Haloalkane dehalogenase	linB	K01563	Bacteria	CP013070.1	Sphingobium indicum B90A	A0A1L5BTC1	APL96138.1	Asia	India	Soil	Sugarcane rhizosphere soil
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linB	K01563	Bacteria	PHFW01000003.1	Sphingopyxis lindanitolerans strain WS5A3p	A0A2S8B3V6	PQM26949.1	Europe	Poland	Soil	Enriched from a pesticide disposal site
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linB	K01563	Bacteria	PHFW01000004.1	Sphingopyxis lindanitolerans strain WS5A3p	A0A2S8B0D7	PQM25817.1	Europe	Poland	Soil	Enriched from a pesticide disposal site
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linB	n/a	Bacteria	PHFW01000002.1	Sphingopyxis lindanitolerans strain WS5A3p	A0A2S8B8R6	PQM28730.1	Europe	Poland	Soil	Enriched from a pesticide disposal site
Alpha-hexachlorocyclohexane	1-carboxy-3-chloro-3,4-dihydroxycyclohexa-1,5-diene dehydrogenase	linB	K01563	Bacteria	PHFW01000002.1	Sphingopyxis lindanitolerans strain WS5A3p	A0A2S8B956	PQM28856.1	Europe	Poland	Soil	Enriched from a pesticide disposal site
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linB	n/a	Bacteria	DQ910544.1	Xanthomonas sp. ICH12	Q06DE6	ABI93216.1	Asia	India	Sediment, Wastewater, Soil	Industrial site which is engaged in the manufacture of lindane for more than 15 years
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linB	n/a	Bacteria	DQ767899.1	Sphingomonas sp. NM05	Q0PV40	ABG77567.1	Asia	India	Sediment, Wastewater, Soil	Industrial site which is engaged in the manufacture of lindane for more than 15 years
Alpha-hexachlorocyclohexane	Haloalkane dehalogenase	LinB	K01563	Bacteria	CP004041.2	Sphingomonas sp. MM-1	D4AHW5	AGH52079.1	Asia	India	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	Haloacid dehalogenase	LinB	K01563	Bacteria	AUDA01000012.1	Sphingobium chinhatense IP26	W1L1Z7	EPR18988.1	Asia	India	Soil	 HCH dumpsite where Lindane was produced
Alpha-hexachlorocyclohexane	Haloalkane dehalogenase	LinB	K01563	Bacteria	AB278602.1	Sphingobium sp. MI1205	A4PEU6	BAF56671.1	Asia	Japan	Soil	Contaminated with technical-HCH and still contained low levels of HCH isomers
Alpha-hexachlorocyclohexane	Haloalkane dehalogenase	LinB	K01563	Bacteria	AB278602.1	Sphingobium sp. MI1205	A4PEU6	BAF56673.1	Asia	Japan	Soil	Contaminated with technical-HCH and still contained low levels of HCH isomers
Alpha-hexachlorocyclohexane	1,3,4,6-tetrachloro-1,4-cyclohexane halidohydrolase-like	LinB	K01563	Bacteria	DQ143989.1	Microbacterium sp. ITRC1	n/a	n/a	Asia	India	Soil	HCH-contaminated soil
Alpha-hexachlorocyclohexane	Hexachlorocyclohexane-dehalogenase	LinBa	K01563	Bacteria	EF514236	Pseudomonas aeruginosa strain ITRC-5	A5A0R2	ABP93361.1	Asia	India	Soil	HCH-contaminated soil
Alpha-hexachlorocyclohexane	Hexachlorocyclohexane-dehalogenase	LinBb	K01563	Bacteria	EF514239.1	Pseudomonas aeruginosa strain ITRC-5	A5A0R7	ABP93366.1	Asia	India	Soil	HCH-contaminated soil
Alpha-hexachlorocyclohexane	haloalkane dehalogenase	linB	K01563	Bacteria	AB304076.1	Sphingobium indicum SS86	A8CFB7	BAF80331.1	Asia	Japan	Soil	Soil surface layer of the γ-HCH plot of the long-term experimental field
Alpha-hexachlorocyclohexane	haloalkane dehalogenase	linB	K01563	Bacteria	AB304077.1	Sphingobium sp. SS04-1	A8CFB9	BAF80333.1	Asia	Japan	Soil	Soil surface layer of the γ-HCH plot of the long-term experimental field
Alpha-hexachlorocyclohexane	haloalkane dehalogenase	linB	K01563	Bacteria	AB304078.1	Sphingobium sp. SS04-2	A8CFC2	BAF80336.1	Asia	Japan	Soil	Soil surface layer of the γ-HCH plot of the long-term experimental field
Alpha-hexachlorocyclohexane	haloalkane dehalogenase	linB	K01563	Bacteria	AB304079.1	Sphingobium sp. SS04-3	A8CFC5	BAF80339.1	Asia	Japan	Soil	Soil surface layer of the γ-HCH plot of the long-term experimental field
Alpha-hexachlorocyclohexane	haloalkane dehalogenase	linB	K01563	Bacteria	AB304080.1	Sphingobium sp. SS04-4 	A8CFC8	BAF80342.1	Asia	Japan	Soil	Soil surface layer of the γ-HCH plot of the long-term experimental field
Alpha-hexachlorocyclohexane	haloalkane dehalogenase	linB	K01563	Bacteria	AB304081.1	Sphingobium sp. SS04-5	A8CFD1	BAF80345.1	Asia	Japan	Soil	Soil surface layer of the γ-HCH plot of the long-term experimental field
Alpha-hexachlorocyclohexane	haloalkane dehalogenase	linB	K01563	Bacteria	GQ915275.1	Sphingomonas sp. HZ-1	C9ELL9	ACV91872.1	Asia	China	Soil	Hexacholorocyclohexane-contaminated soil collected from an industrial site that was engaged in the manufacture of HCH,  1,1,1-trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) and some other organochlorine insecticides from 1950s to 1980s
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	AUWY01000119.1	Sphingobium ummariense RL-3	T0IY52	EQB30646.1	Asia	India	Soil	Hexachlorocylcohexane (HCH) dumpsite
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	AUWY01000119.1	Sphingobium ummariense RL-3	T0J1I9	EQB30647.1	Asia	India	Soil	Hexachlorocylcohexane (HCH) dumpsite
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	ATDO01000015.1	Sphingobium sp. HDIP04	T0IE82	EQB10000.1	Asia	India	Soil	Hexachlorocyclohexane (HCH)-contaminated dumpsite
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	ATDO01000104.1	Sphingobium sp. HDIP04	T0GPU9	EQB02013.1	Asia	India	Soil	Hexachlorocyclohexane (HCH)-contaminated dumpsite
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	AP010803.1	Sphingobium japonicum UT26S	D4YYG1	BAI95393.1	Asia	Japan	Soil	Experimental field in which lindane was applied before
Alpha-hexachlorocyclohexane	short-chain alcohol dehydrogenase	linC	n/a	Bacteria	DQ767900.1	Sphingomonas sp. NM05	Q0PV39	ABG77568.1	Asia	India	Sediment, Wastewater, Soil	Industrial site which is engaged in the manufacture of lindane for more than 15 years
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	CP005083.1	Sphingobium sp. TKS	A0A126RX41	AMK21445.1	Asia	Japan	Sediment	Kyushu Island, Japan, contaminated with HCH isomers
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	CP005087.1	Sphingobium sp. TKS	A0A126RX41	AMK26707.1	Asia	Japan	Sediment	Kyushu Island, Japan, contaminated with HCH isomers
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	CP005088.1	Sphingobium sp. TKS	A0A126RX41	AMK26750.1	Asia	Japan	Sediment	Kyushu Island, Japan, contaminated with HCH isomers
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	CP004036.1	Sphingomonas sp. MM-1	M4S0Y1	AGH48119.1	Asia	India	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	LinX	n/a	Bacteria	CP004037.1	Sphingomonas sp. MM-1	M4S9L5	AGH51633.1	Asia	India	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX	linX	n/a	Bacteria	CP013071.1	Sphingobium indicum B90A	A0A1L5BU05	APL96546.1	Asia	India	Soil	Sugarcane rhizosphere soil
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	LinX	n/a	Bacteria	CP004038.1	Sphingomonas sp. MM-1	M4S7R4	AGH51791.1	Asia	India	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	LinC-like protein	LinC	n/a	Bacteria	CP004038.1	Sphingomonas sp. MM-1	M4SMQ4	AGH51792.1	Asia	India	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	CP004038.1	Sphingomonas sp. MM-1	E1CJA5	AGH51931.1	Asia	India	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	CP004041.2	Sphingomonas sp. MM-1	D4AHW3	AGH52068.2	Asia	India	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	LinC-like SDR-family protein	linC	n/a	Bacteria	CP004041.2	Sphingomonas sp. MM-1	M4SNM1	AGH52072.1	Asia	India	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	CP005190.1	Sphingobium sp. MI1205	A0A126RFI8	AMK20366.1	Asia	Japan	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	LinC-like SDR-family protein	linC	n/a	Bacteria	CP005190.1	Sphingobium sp. MI1205	A0A126RDM0	AMK20370.1	Asia	Japan	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	LinC-like protein	LinC	n/a	Bacteria	CP005191.1	Sphingobium sp. MI1205	A0A126RFD9	AMK20792.1	Asia	Japan	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	LinX	n/a	Bacteria	CP005191.1	Sphingobium sp. MI1205	A0A126REW6	AMK20793.1	Asia	Japan	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	CP005192.1	Sphingobium sp. MI1205	A0A126RFI8	AMK20834.1	Asia	Japan	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	LinC-like protein	LinC	n/a	Bacteria	CP005192.1	Sphingobium sp. MI1205	A0A126RDM0	AMK20873.1	Asia	Japan	Soil	Contaminated soil with technical-HCH
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	ATIB01000082.1	Sphingobium baderi LL03	T0GCG8	EQA98341.1	Europe	Czech Republic	Soil	 HCH dumpsite where Lindane was produced
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	ATIB01000082.1	Sphingobium baderi LL03	T0GE93	EQA98342.1	Europe	Czech Republic	Soil	 HCH dumpsite where Lindane was produced
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	AUDA01000019.1	Sphingobium chinhatense IP26	W1L1B7	EPR18631.1	Asia	India	Soil	 HCH dumpsite where Lindane was produced
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	AUDA01000020.1	Sphingobium chinhatense IP26	W1KZY2	EPR18614.1	Asia	India	Soil	 HCH dumpsite where Lindane was produced
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	JACT01000010.1	Sphingobium czechense LL01	A0A0J8A718	KMS51190.1	Europe	Czech Republic	Soil	Hexachlorocyclohexane-contaminated soil from a lindane-manufacturing site
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	JACT01000010.1	Sphingobium czechense LL01	A0A0J7XGM3	KMS51191.1	Europe	Czech Republic	Soil	Hexachlorocyclohexane-contaminated soil from a lindane-manufacturing site
Alpha-hexachlorocyclohexane	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase	linC	n/a	Bacteria	JACU01000004.1	Novosphingobium barchaimii LL02	A0A0J8APN2	KMS56420.1	Europe	Czech Republic	Soil	Hexachlorocyclohexane-contaminated soil from a lindane-manufacturing site
